"Timestamp","Пин код","За какую партию вы проголосовали?","За какого кандидата вы проголосовали?","Ваш пол","Ваш возраст"
"2021/09/19 11:41:26 AM GMT+2","846332","Яблоко","Ерёмин Василий Васильевич, Яблоко","Мужской","18-24"
"2021/09/19 11:51:42 AM GMT+2","563993","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 11:52:25 AM GMT+2","8769","Зелёные","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 11:53:51 AM GMT+2","314346","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:11:11 PM GMT+2","113739","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:11:53 PM GMT+2","657791","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:12:06 PM GMT+2","89084","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:13:19 PM GMT+2","540560","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","45-64"
"2021/09/19 12:18:46 PM GMT+2","546601","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 12:18:51 PM GMT+2","990613","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","18-24"
"2021/09/19 12:27:35 PM GMT+2","210224","Яблоко","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:30:48 PM GMT+2","650388","Зеленая альтернатива","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:33:47 PM GMT+2","52852","Яблоко","Ерёмин Василий Васильевич, Яблоко","Женский","25-44"
"2021/09/19 12:34:03 PM GMT+2","732587","Яблоко","Ерёмин Василий Васильевич, Яблоко","","25-44"
"2021/09/19 12:34:10 PM GMT+2","861827","КПРФ","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 12:34:18 PM GMT+2","89490","Яблоко","Ерёмин Василий Васильевич, Яблоко","Мужской","25-44"
"2021/09/19 12:34:45 PM GMT+2","732587","Яблоко","Ерёмин Василий Васильевич, Яблоко","Мужской","25-44"
"2021/09/19 12:35:58 PM GMT+2","624535","ЛДПР","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
"2021/09/19 12:36:05 PM GMT+2","889526","Новые люди","Диденко Алексей Николаевич, ЛДПР","Мужской","25-44"
"2021/09/19 12:38:47 PM GMT+2","20846","КПРФ","Диденко Алексей Николаевич, ЛДПР","Женский","25-44"
